time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.01284294864e-07,5.74348481085e-07,9.99951260706,0.000549246543737,6.28262268183,0.0,-7.1745425528e-06,4.61823325205e-05,-0.0162465163786,0.0230382626095,-0.0450095119318,0.0,399.90999204650075,395.78929303203154,397.72367098674204,399.82785969894127
0.12000000000000001,2.17574722742e-05,2.0481615198e-05,10.002163798,0.00192895186352,6.27961474182,0.0,0.00104625278558,0.000762536955392,0.104615103489,0.0229107975997,-0.0631069742581,0.0,444.0677160907362,442.5789386508382,443.6187928112317,443.6085513408769
0.18,0.000185082634894,0.000117580271915,10.0143154134,0.00325716631736,6.27579879216,0.0,0.00483946225138,0.00263110146212,0.300404474043,0.0205425499312,-0.0646016822881,0.0,466.30430368854655,466.18480348485576,466.5122236839955,466.32729473510017
0.23999999999999996,0.000666572516075,0.000357580086949,10.0382542861,0.00412525917955,6.27161920171,0.0,0.0116753783486,0.0054957622817,0.49748781165,-0.00186387591913,-0.0824137348884,0.0,467.6203168333235,466.2273813425975,467.5910618219075,465.8424641246247
0.3,0.00164310690425,0.000778704420068,10.0725553175,0.00449689711076,6.26663412941,0.0,0.0214167930749,0.00855942976054,0.645799952938,0.0187642792516,-0.0844601606042,0.0,452.982698077734,452.8126412389954,450.8136171218632,452.47703705986055
0.36000000000000004,0.00335357227306,0.00140671107852,10.1179724702,0.00559299096598,6.26115346545,0.0,0.0362225404085,0.012506833084,0.867950430072,0.0172572752084,-0.110945513485,0.0,475.5597783889939,473.5201854986723,474.6728798945185,474.5571498917938
0.4200000000000001,0.0060209973598,0.00227992422374,10.1736286207,0.00656295345439,6.25458274139,0.0,0.053382598175,0.0167048330898,0.987140932924,0.0138891546377,-0.106791430895,0.0,443.3886442853995,443.71912825599804,444.17780132984547,443.90144299558784
0.48000000000000015,0.00986414723808,0.00342668816124,10.2367216801,0.00718050914917,6.24894385101,0.0,0.0753504058684,0.0215980443073,1.11582325497,0.00190201022824,-0.0761840891686,0.0,446.28484594738336,448.7678800970847,446.986846474779,446.00890117941987
0.5400000000000001,0.0150410324271,0.0048571822634,10.304707216,0.00692061785795,6.24467744307,0.0,0.0976173680683,0.0260821143111,1.15031148593,-0.0212759177264,-0.0625144044707,0.0,416.39383122830213,417.5835034221408,418.0464025910941,416.02214955857943
0.6000000000000002,0.0218024870977,0.0065761444461,10.3791286742,0.00538978322986,6.24089136097,0.0,0.128185324782,0.0310573910934,1.33019399192,-0.0357294410727,-0.0643013488312,0.0,462.94253783807767,462.7992075513385,463.8245926449565,462.6880873975524
0.6600000000000003,0.0303741621266,0.00854169007108,10.4617512649,0.00311896765051,6.23714472778,0.0,0.157915609758,0.0342374330355,1.42376254796,-0.0424580748064,-0.0589676862438,0.0,436.90086309669925,437.3423931592664,436.8430329088198,436.28092375212316
0.7200000000000003,0.0408923780983,0.0106550988067,10.5518575885,0.00063749186054,6.23312499391,0.0,0.193087537193,0.0359317430847,1.57955778421,-0.0392442986601,-0.0922960049918,0.0,458.0188533858233,455.35704795406303,456.206466650012,456.46211898856114
0.7800000000000004,0.0535663293415,0.0128153356845,10.6502784579,6.2815641664,6.22715460045,0.0,0.229965518713,0.0358336965479,1.70092995845,-0.0346218444431,-0.120577818817,0.0,448.29832573365985,445.98555194438103,445.456460878944,445.8335919822971
0.8400000000000004,0.0685865757926,0.0149224926112,10.7559712017,6.27928458157,6.21959629873,0.0,0.271471337189,0.0341774583635,1.821924922,-0.0457692396208,-0.139837093115,0.0,447.32477244346444,445.73911387923954,447.4077478366087,446.4985836867324
0.9000000000000005,0.0863690855346,0.016871981263,10.8705484566,6.27618592729,6.21102311481,0.0,0.322216377713,0.0304809337904,1.9969540054,-0.067225146434,-0.149805182963,0.0,465.0177986701305,464.21818729897393,463.8452724210225,462.1555889986258
0.9600000000000005,0.107400464867,0.0185236839905,10.9956876117,6.27278739711,6.20182928467,0.0,0.379832784089,0.0241640938648,2.17393909638,-0.0411496999936,-0.161142661978,0.0,465.1740506844727,464.2642712063139,464.6104736255295,466.64800126529303
1.0200000000000005,0.131995070941,0.0197380768011,11.1301421738,6.27021612423,6.19232448537,0.0,0.44098703661,0.0160503739011,2.30751497067,-0.0465019330609,-0.153454036997,0.0,452.8159988831331,453.4107426584726,452.7957036277775,452.3639544137746
1.0800000000000005,0.16053088111,0.020399291913,11.2733264559,6.26765448606,6.18281529902,0.0,0.511202400319,0.00570160223236,2.46484788395,-0.0359992762942,-0.171143137864,0.0,461.4253390238789,460.0036354394079,460.6658612772956,461.4946159885151
1.1400000000000006,0.1934551068,0.0203912544353,11.4255286927,6.26515484053,6.17220561701,0.0,0.587360784349,-0.0062107999878,2.60809756827,-0.0564728694276,-0.191698330736,0.0,458.7064743474389,457.0416370218759,458.06833064414445,456.4363676465613
1.2000000000000006,0.230950923467,0.0196478685912,11.584232923,6.26198637178,6.16102252286,0.0,0.66358370892,-0.0188832273032,2.68171030906,-0.0463364978647,-0.177461962016,0.0,436.8119746543184,437.96303252339567,435.6673465343296,436.5121186203823
1.2600000000000007,0.272900945333,0.0181424428584,11.7446213852,6.2589151405,6.15021924189,0.0,0.735653257238,-0.031540879746,2.6644625953,-0.0632753619644,-0.185812793513,0.0,407.31098627254755,406.5287393004485,408.31677113629416,406.8007578235116
