time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.06,-0.0125300626385,0.00874003696766,10.0179676155,0.897285933188,0.937797335094,0.0,-0.700128370384,0.428405577795,0.357086453954,10.8194095796,10.8305539049,0.0,-0.0751769294274,900.53447909,-0.642056381126,900.058130964,1.0
0.12000000000000001,-0.0690765213898,0.0463582210077,10.0463085659,1.25862015946,1.28434418457,0.0,-0.633133648818,0.803864898941,0.537660465243,19.2891893954,19.2948888632,0.0,0.156502592275,900.355309441,-0.567347744609,900.439141822,1.0
0.18,-0.118765577744,0.105531119523,10.0756259027,0.680865454878,0.677100045934,0.0,-0.506135844426,0.92152616061,0.604751827769,24.3733239566,24.3621114301,0.0,-0.0411017118557,899.957100386,-0.521928731502,900.666472509,1.0
0.23999999999999996,-0.181361081771,0.168251375097,10.1128056508,3.29920959161,3.30508183105,0.0,-1.55048765919,0.86308522102,0.670099131315,26.8857622105,26.8860549021,0.0,0.132601402491,900.118873298,-0.082489497021,899.836200479,1.0
0.3,-0.254844791589,0.231671609162,10.1659850148,5.16017639386,5.16902992914,0.0,-0.631450348805,1.24363126055,0.792647104054,28.0095863407,28.0169515886,0.0,0.151916114612,900.133459458,-0.15907879862,899.754952403,1.0
0.36000000000000004,-0.263737300603,0.290263707728,10.2161176228,0.607715080406,0.619449727005,0.0,0.0297257578295,0.849222423441,1.14050201219,28.480267173,28.5003527661,0.0,0.344900832086,900.223559904,0.203429691975,899.328586545,1.0
0.4200000000000001,-0.294373102875,0.356510510757,10.2853214881,2.32814805123,2.34014109152,0.0,-1.18083774757,1.14654566903,0.962302064956,28.6781602851,28.6879146446,0.0,-0.355191206912,899.494852805,0.591591927933,899.418763974,1.0
0.48000000000000015,-0.384242635918,0.411202957888,10.3551500207,4.05192784916,4.06420350745,0.0,-1.4708814285,0.940028459912,1.49698345716,28.7591516764,28.7630140004,0.0,-0.378934831727,899.371799403,0.33979321302,899.379895694,1.0
0.5400000000000001,-0.434261500509,0.478096099215,10.4374106355,5.77855499894,5.79083505383,0.0,-0.171957703611,0.997948554819,1.19848622244,28.7948621244,28.7922927103,0.0,-0.0718672253462,899.286439812,0.0983263584842,899.506360083,1.0
0.6000000000000002,-0.437270118941,0.530898354188,10.5279210965,1.22370360266,1.23571584399,0.0,-0.279994370199,1.05480106655,1.77211929497,28.8178384001,28.8116454705,0.0,-0.097888301202,899.674136627,-0.136429071438,899.945944325,1.0
0.6600000000000003,-0.494549520534,0.595810944116,10.6227412646,2.95299743257,2.96481184947,0.0,-1.54438150157,0.846356606355,1.52318836103,28.8266209677,28.8266140254,0.0,-0.093528694737,900.045805163,-0.0162829097083,899.911776241,1.0
0.7200000000000003,-0.581653173816,0.649440964043,10.7338469305,4.6824755602,4.6947832603,0.0,-1.03283625172,1.14900577529,1.97032628012,28.8214391929,28.8407994797,0.0,-0.0689005653459,900.471291853,-0.121802616013,899.446963382,1.0
0.7800000000000004,-0.604916738425,0.710210533391,10.8422774237,0.128554499719,0.142033598028,0.0,0.0698879385197,0.74344182517,1.90952517073,28.8205080278,28.8402819929,0.0,-0.0792716726419,900.136342235,0.340815896212,899.510169562,1.0
0.8400000000000004,-0.618404524341,0.76618830297,10.9715936291,1.85774019616,1.87227444496,0.0,-0.78587618072,1.16517221901,2.11096706251,28.8186077671,28.8324662231,0.0,-0.23979205372,899.734087234,0.0706608492938,899.429815271,1.0
0.9000000000000005,-0.698591155049,0.821353286826,11.0960468103,3.58674843594,3.60213810173,0.0,-1.61430829227,0.724192734942,2.32523512768,28.813917731,28.8288421661,0.0,-0.452425069194,899.711979627,-0.051304291155,899.22282948,1.0
0.9600000000000005,-0.767073041182,0.880212366815,11.2412336095,5.31576247557,5.33202713672,0.0,-0.490170004692,1.09915096841,2.2522834993,28.8210322641,28.8351769842,0.0,-0.741512709307,900.125936218,-0.451419891203,899.7013119,1.0
1.0200000000000005,-0.772328828863,0.93011511605,11.3837500407,0.761788942623,0.779114103993,0.0,-0.013726601127,0.778485851398,2.7015120578,28.8189001904,28.8416319848,0.0,-0.12911347654,900.329661742,-0.00658157775127,899.4339097,1.0
1.0800000000000005,-0.809020833049,0.990015784898,11.542036316,2.49087321679,2.50985190916,0.0,-1.28531131291,0.95313412093,2.44966974714,28.8167864142,28.8510167986,0.0,-0.0115248474527,900.685972384,0.31304520486,899.368326983,1.0
1.1400000000000006,-0.898737146269,1.03642395662,11.7049847779,4.22003946327,4.24096256333,0.0,-1.35159213486,0.884582309967,3.01822954267,28.8231429869,28.8530625146,0.0,-0.279675869666,900.590827128,0.231819794171,899.750605211,1.0
1.2000000000000006,-0.939766720652,1.09518490666,11.8753583163,5.94969438893,5.97213334176,0.0,-0.0545143595133,0.781514273578,2.71738182461,28.8334951067,28.8525177263,0.0,0.0280540091194,900.517650759,0.114722698986,900.160294813,1.0
1.2600000000000007,-0.943078790658,1.14017053303,12.0580757811,1.39656731726,1.41991493551,0.0,-0.395771650458,0.974492076755,3.23060797073,28.8354956697,28.8443189196,0.0,-0.321774801785,900.095871308,0.0609689687414,900.041564825,1.0
1.3200000000000007,-1.00672630929,1.19442928925,12.2409493047,3.12652916739,3.15030149167,0.0,-1.57780939248,0.637797919058,3.07951700369,28.8280653019,28.831752323,0.0,-0.440864300862,899.608796681,0.196307316233,899.605014224,1.0
